date, pm25, pm10, o3, no2, so2, co
2023/4/2, 82, 38, 30, 12, 3, 5
2023/4/3, 74, 33, 30, 15, 3, 5
2023/4/4, 62, 23, 37, 9, 3, 5
2023/4/5, 71, 24, 26, 9, 3, 5
2023/4/6, 50, 11, 38, 4, 4, 4
2023/4/7, 10, 46, 33, 10, 4, 4
2023/4/8, 66, 53, 49, 10, 4, 4
2023/4/9, 99, 50, 55, 15, 4, 4
2023/4/10, 84, 44, 40, 15, 3, 5
2023/4/11, 93, 44, 55, 11, 4, 5
2023/4/12, 105, 44, 44, 10, 3, 4
2023/4/13, 88, 53, 29, 14, 4, 5
2023/4/14, 96, 25, 46, 9, 3, 5
2023/4/15, 46, 45, 61, 13, 4, 5
2023/4/16, 74, 49, 60, 11, 4, 5
2023/4/17, 93, 42, 39, 11, 4, 5
2023/4/18, 96, 28, 35, 8, 3, 5
2023/4/19, 60, 18, 48, 6, 4, 5
2023/4/20, 44, 24, 25, 12, 4, 5
2023/4/21, 53, 27, 39, 5, 4, 3
2023/4/22, 52, 40, 35, 8, 4, 4
2023/4/23, 76, 25, 28, 6, 4, 5
2023/4/24, 57, 12, 18, 5, 4, 5
2023/4/25, 13, 12, 30, 6, 5, 4
2023/4/26, 39, 30, 46, 10, 5, 5
2023/4/27, 73, 39, 45, 14, 5, 5
2023/4/28, 85, 31, 31, 10, 3, 4
2023/4/29, 69, 56, 37, 6, 1, 3
2023/4/30, 50, 47, 52, 8, 2, 4
2023/5/1, 82, 43, 62, 8, 3, 4
2023/5/2, 71, 38, 34, 11, 2, 4
2023/5/3, 81, 25, 29, 7, 1, 3
2023/5/4, 59, 25, 27, 8, 1, 3
2023/5/5, 56, 22, 20, 8, 1, 3
2023/5/6, 51, 14, 31, 6, 1, 4
2023/5/7, 36, 22, 24, 6, 2, 5
2023/5/8, 36, 23, 27, 6, 3, 4
2023/5/9, 59, 39, 54, 7, 2, 4
2023/5/10, 76, 33, 41, 8, 2, 4
2023/5/11, 76, 23, 19, 8, 1, 5
2023/5/12, 59, 30, 2, 9, 1, 5
2023/5/13, 55, 39, 30, 11, 2, 5
2023/5/14, 77, 33, 60, 9, 2, 4
2023/5/15, 70, 40, 44, 12, 2, 4
